Participant ID,Positive: AI capabilities,Positive: UI and visual design,Positive: Simplicity and ease,Positive: Checklist organisation,Improvement: PDF/download workflow,Improvement: Layout and visual simplification,Improvement: Sign-up and onboarding flow,Improvement: Navigation and checklist controls,"Improvement: Trust, legal information and social proof",Improvement: Profile customisation
P01,0,0,0,0,0,0,0,0,0,0
P02,0,1,0,1,0,0,0,0,0,0
P03,0,1,0,0,0,0,1,0,0,0
P04,0,0,0,0,0,0,0,0,0,0
P05,1,0,0,0,1,0,0,0,0,0
P06,0,0,0,0,0,0,0,0,0,0
P07,1,0,1,0,0,1,0,0,0,0
P08,1,1,0,0,0,1,1,0,0,0
P09,0,0,0,0,0,0,0,0,0,0
P10,1,0,0,0,0,1,0,1,1,1
